Table: 

Location	xpos	ypos	Moria	Weathertop	Fangorn Forest	River Isen	Minas Tirith	Osgiliath	Minas Morgul	Erebor	Misty Mountains	Beorn's House	Mirkwood	Dale	Entwash River	Laketown	Bywater	Lothlorien	Gorgoroth	The Black Gate	Barad-Dur	The Grey Havens	Helm's Deep	Pelennor Fields	Cirith Ungol	Gladden Fields	Rivendell	
Mirkwood	10.3073	487.998	436.665	201.034	389.605	428.848	305.945	381.292	520.468	395.199	526.057	349.465	0	163.622	156.676	399.501	353.827	485.889	254.26	436.581	463.062	375.473	320.709	371.16	507.156	451.405	274.79	
Dale	71.3587	336.192	282.558	82.4771	250.42	266.099	168.517	312.174	383.861	232.421	401.221	316.675	163.622	0	147.009	344.2	195.155	322.532	135.832	327.261	324.991	231.521	158.611	233.363	363.691	301.186	111.548	
Entwash River	162.653	451.417	329.88	105.275	265.556	373.833	190.404	224.692	386.685	342.118	383.221	197.272	156.676	147.009	0	243.49	264.994	408.344	132.315	288.231	333.061	371.047	248.203	247.312	380.871	336.975	230.775	
Laketown	404.465	422.875	308.915	262.615	231.132	435.811	232.49	41.5628	269.728	416.262	232.724	64.0427	399.501	344.2	243.49	0	310.985	422.92	219.765	144.367	246.744	500.69	330.202	225.045	289.855	294.36	359.623	
Bywater	199.495	188.997	90.2399	164.238	98.876	126.778	87.8452	269.495	212.332	105.289	247.087	321.65	353.827	195.155	264.994	310.985	0	143.466	137.905	213.894	157.502	202.899	43.9884	93.668	182.856	113.795	105.623	
Lothlorien	212.351	46.1085	115.11	306.231	192.02	81.5693	226.71	382.212	223.721	105.783	276.963	446.903	485.889	322.532	408.344	422.92	143.466	0	280.651	295.028	197.478	211.492	166.323	200.614	184.363	136.039	213.637	
Gorgoroth	206.859	326.705	197.58	57.2363	137.155	257.789	58.097	183.306	266.242	229.417	273.967	207.917	254.26	135.832	132.315	219.765	137.905	280.651	0	192.728	209.214	289.853	132.806	118.581	254.676	205.637	143.667	
The Black Gate	393.569	278.92	180.4	249.726	116.176	325.249	166.396	112.209	126.656	313.546	100.095	192.365	436.581	327.261	288.231	144.367	213.894	295.028	192.728	0	104.806	416.676	247.532	120.669	145.613	159.916	296.156	
Barad-Dur	356.783	180.782	89.3656	262.563	74.7307	242.028	158.571	210.533	58.8732	238.437	90.7157	287.42	463.062	324.991	333.061	246.744	157.502	197.478	209.214	104.806	0	351.907	200.165	92.5592	49.2982	62.5941	259.593	
The Grey Havens	11.5588	112.527	266.436	273.555	301.634	130.436	268.479	460.4	399.302	117.244	442.535	497.352	375.473	231.521	371.047	500.69	202.899	211.492	289.853	416.676	351.907	0	172.173	296.102	363.192	295.145	147.142	
Helm's Deep	157.884	203.26	133.509	143.386	136.485	126.486	97.9239	289.394	255.851	96.7578	288.798	332.749	320.709	158.611	248.203	330.202	43.9884	166.323	132.806	247.532	200.165	172.173	0	127.384	226.83	157.729	61.7548	
Pelennor Fields	281.385	234.47	92.8423	170.301	18.5762	212.277	66.0131	183.67	151.125	196.302	170.037	246.339	371.16	233.363	247.312	225.045	93.668	200.614	118.581	120.669	92.5592	296.102	127.384	0	136.245	91.6194	179.796	
Cirith Ungol	374.079	134.618	97.9536	306.136	117.697	243.197	201.261	255.584	39.3595	246.422	93.6702	333.905	507.156	363.691	380.871	289.855	182.856	184.363	254.676	145.613	49.2982	363.192	226.83	136.245	0	70.1791	288.238	
Gladden Fields	304.812	145.896	28.7249	251.519	75.2151	180.438	148.295	255.23	104.228	179.449	149.657	326.854	451.405	301.186	336.975	294.36	113.795	136.039	205.637	159.916	62.5941	295.145	157.729	91.6194	70.1791	0	219.417	
Rivendell	101.677	228.843	195.208	128.499	191.826	154.607	132.939	320.683	316.291	120.943	346.612	351.584	274.79	111.548	230.775	359.623	105.623	213.637	143.667	296.156	259.593	147.142	61.7548	179.796	288.238	219.417	0	
